,ConversionID,PlacementID/SearchKeywordID1,PlacementID/SearchKeywordID2,PlacementID/SearchKeywordID3,PlacementID/SearchKeywordID4,PlacementID/SearchKeywordID5,PlacementID/SearchKeywordID6,PlacementID/SearchKeywordID7,PlacementID/SearchKeywordID8,PlacementID/SearchKeywordID9,PlacementID/SearchKeywordID10,PlacementID/SearchKeywordID11,PlacementID/SearchKeywordID12,PlacementID/SearchKeywordID13,PlacementID/SearchKeywordID14,PlacementID/SearchKeywordID15,PlacementID/SearchKeywordID16,PlacementID/SearchKeywordID17,PlacementID/SearchKeywordID18,PlacementID/SearchKeywordID19,PlacementID/SearchKeywordID20,PlacementID/SearchKeywordID21,PlacementID/SearchKeywordID22,PlacementID/SearchKeywordID23,PlacementID/SearchKeywordID24,PlacementID/SearchKeywordID25,PlacementID/SearchKeywordID26,PlacementID/SearchKeywordID27,PlacementID/SearchKeywordID28,PlacementID/SearchKeywordID29,PlacementID/SearchKeywordID30
0,464371561372,21172958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,471641428077,,,21164348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,471701690381,,,21172800.0,21172800.0,21172800.0,21172958.0,21172958.0,21164354.0,21172958.0,21172958.0,21164354.0,21164354.0,21164354.0,21172962.0,21172958.0,21172958.0,21164354.0,21172962.0,21172958.0,21164354.0,21164354.0,21164354.0,21172958.0,21164354.0,21172962.0,21172962.0,,,,
3,468554934236,21172962.0,21172800.0,21164354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,471641428076,,21164348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,471701690380,,,21172800.0,21172800.0,21172800.0,21172958.0,21172958.0,21164354.0,21172958.0,21172958.0,21164354.0,21164354.0,21164354.0,21172962.0,21172958.0,21172958.0,21164354.0,21172962.0,21172958.0,21164354.0,21164354.0,21164354.0,21172958.0,21164354.0,21172962.0,21172962.0,,,,
6,471701690383,,,21172800.0,21172800.0,21172800.0,21172958.0,21172958.0,21164354.0,21172958.0,21172958.0,21164354.0,21164354.0,21164354.0,21172962.0,21172958.0,21172958.0,21164354.0,21172962.0,21172958.0,21164354.0,21164354.0,21164354.0,21172958.0,21164354.0,21172962.0,21172962.0,,,,
7,471641428078,,,21164348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,471701690382,,,21172800.0,21172800.0,21172800.0,21172958.0,21172958.0,21164354.0,21172958.0,21172958.0,21164354.0,21164354.0,21164354.0,21172962.0,21172958.0,21172958.0,21164354.0,21172962.0,21172958.0,21164354.0,21164354.0,21164354.0,21172958.0,21164354.0,21172962.0,21172962.0,,,,
9,464576297536,21172800.0,21172958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,465340506400,21172958.0,21172962.0,21172962.0,21172962.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,464866964938,21172958.0,21172962.0,21164354.0,21172958.0,21164354.0,21172962.0,21172962.0,21172962.0,21172800.0,21172800.0,21172962.0,21172962.0,21172800.0,21172800.0,21172800.0,21172800.0,21172800.0,21164354.0,21164354.0,21172800.0,21172800.0,21172800.0,21164354.0,21172962.0,21172800.0,21172800.0,21172958.0,21164354.0,21164354.0,21172962.0
12,471641428075,,21164348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,464371561371,21172958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,464866964939,21172958.0,21172962.0,21164354.0,21172958.0,21164354.0,21172962.0,21172962.0,21172962.0,21172800.0,21172800.0,21172962.0,21172962.0,21172800.0,21172800.0,21172800.0,21172800.0,21172800.0,21164354.0,21164354.0,21172800.0,21172800.0,21172800.0,21164354.0,21172962.0,21172800.0,21172800.0,21172958.0,21164354.0,21164354.0,21172962.0
15,470098887613,21172781.0,21172930.0,21172781.0,21172930.0,21172935.0,21172930.0,21164348.0,,,,,,,,,,,,,,,,,,,,,,,
16,468549831828,21172962.0,21172800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,470098887612,21172781.0,21172930.0,21172781.0,21172930.0,21172935.0,21172930.0,21164348.0,,,,,,,,,,,,,,,,,,,,,,,
18,468075604302,21172962.0,21172800.0,21172800.0,21172800.0,21172962.0,21172800.0,21172800.0,21172800.0,21172800.0,21172800.0,21172800.0,21172958.0,21172962.0,21172962.0,21172962.0,,,,,,,,,,,,,,,
19,469143278639,21172962.0,21172958.0,21172958.0,21164354.0,21172958.0,21172962.0,21164354.0,21164354.0,,,,,,,,,,,,,,,,,,,,,,
20,463103423728,21172958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,468075604303,21172962.0,21172800.0,21172800.0,21172800.0,21172962.0,21172800.0,21172800.0,21172800.0,21172800.0,21172800.0,21172800.0,21172958.0,21172962.0,21172962.0,21172962.0,,,,,,,,,,,,,,,
22,469143278638,21172962.0,21172958.0,21172958.0,21164354.0,21172958.0,21172962.0,21164354.0,21164354.0,,,,,,,,,,,,,,,,,,,,,,
23,464364639464,21164354.0,21164354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,465554984832,21164354.0,21172962.0,21172958.0,21172962.0,21172800.0,21172962.0,21172962.0,21172800.0,21172800.0,21172800.0,21172800.0,21164354.0,21172800.0,21172800.0,21172958.0,,,,,,,,,,,,,,,
25,468861240321,21164348.0,21164348.0,21164348.0,21164348.0,21164348.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,469427906529,21164348.0,21164348.0,21164348.0,21164348.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,465554984833,21164354.0,21172962.0,21172958.0,21172962.0,21172800.0,21172962.0,21172962.0,21172800.0,21172800.0,21172800.0,21172800.0,21164354.0,21172800.0,21172800.0,21172958.0,,,,,,,,,,,,,,,
28,468861240320,21164348.0,21164348.0,21164348.0,21164348.0,21164348.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,471458735168,21172962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,465023140330,21172800.0,21172958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,465031798986,21172962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,468549831827,21172962.0,21172800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,465023140331,21172800.0,21172958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,465031798987,21172962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,465333075291,21172782.0,21172936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,469427906530,21164348.0,21164348.0,21164348.0,21164348.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,468166069292,21172962.0,21172962.0,21164354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
