,ConversionID,PlacementID/SearchKeywordID1,PlacementID/SearchKeywordID2,PlacementID/SearchKeywordID3,PlacementID/SearchKeywordID4,PlacementID/SearchKeywordID5,PlacementID/SearchKeywordID6,PlacementID/SearchKeywordID7,PlacementID/SearchKeywordID8,PlacementID/SearchKeywordID9,PlacementID/SearchKeywordID10,PlacementID/SearchKeywordID11,PlacementID/SearchKeywordID12,PlacementID/SearchKeywordID13,PlacementID/SearchKeywordID14,PlacementID/SearchKeywordID15,PlacementID/SearchKeywordID16,PlacementID/SearchKeywordID17,PlacementID/SearchKeywordID18,PlacementID/SearchKeywordID19,PlacementID/SearchKeywordID20,PlacementID/SearchKeywordID21,PlacementID/SearchKeywordID22,PlacementID/SearchKeywordID23,PlacementID/SearchKeywordID24,PlacementID/SearchKeywordID25,PlacementID/SearchKeywordID26,PlacementID/SearchKeywordID27,PlacementID/SearchKeywordID28,PlacementID/SearchKeywordID29,PlacementID/SearchKeywordID30
0,464371561372,21172958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,468554934236,21172962.0,21172800.0,21164354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,462905850479,21164354.0,21164354.0,21164354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,464576297536,21172800.0,21172958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,462516061894,21172800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,464371561371,21172958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,468549831828,21172962.0,21172800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,468075604302,21172962.0,21172800.0,21172800.0,21172800.0,21172962.0,21172800.0,21172800.0,21172800.0,21172800.0,21172800.0,21172800.0,21172958.0,21172962.0,21172962.0,21172962.0,,,,,,,,,,,,,,,
8,469143278639,21172962.0,21172958.0,21172958.0,21164354.0,21172958.0,21172962.0,21164354.0,21164354.0,,,,,,,,,,,,,,,,,,,,,,
9,463103423728,21172958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
